"clase","nombre_calse"
"901215                                                                                                                                                                                                                                                          ","Agentes de viajes                                                                                                                                                                                                                                               "
"901216                                                                                                                                                                                                                                                          ","Asistencia en documentos de viajes                                                                                                                                                                                                                              "
"901217                                                                                                                                                                                                                                                          ","Guías e intérpretes                                                                                                                                                                                                                                             "
"901218                                                                                                                                                                                                                                                          ","Servicios de asistencia de emergencia en viajes                                                                                                                                                                                                                 "
"901315                                                                                                                                                                                                                                                          ","Actuaciones en vivo                                                                                                                                                                                                                                             "
"901316                                                                                                                                                                                                                                                          ","Actuaciones grabadas o películas                                                                                                                                                                                                                                "
"901415                                                                                                                                                                                                                                                          ","Eventos profesionales deportivos                                                                                                                                                                                                                                "
"901416                                                                                                                                                                                                                                                          ","Promoción y patrocinio de eventos deportivos                                                                                                                                                                                                                    "
"901417                                                                                                                                                                                                                                                          ","Deportes aficionados y recreacionales                                                                                                                                                                                                                           "
"901515                                                                                                                                                                                                                                                          ","Atracciones turísticas                                                                                                                                                                                                                                          "
"901516                                                                                                                                                                                                                                                          ","Shows viajeros                                                                                                                                                                                                                                                  "
"901517                                                                                                                                                                                                                                                          ","Parques de diversiones                                                                                                                                                                                                                                          "
"901518                                                                                                                                                                                                                                                          ","Carnavales y ferias                                                                                                                                                                                                                                             "
"901519                                                                                                                                                                                                                                                          ","Establecimientos de Juegos de azar y de apuestas                                                                                                                                                                                                                "
"901520                                                                                                                                                                                                                                                          ","Clubes nocturnos y salones de baile                                                                                                                                                                                                                             "
"901521                                                                                                                                                                                                                                                          ","Servicios de conserjería                                                                                                                                                                                                                                        "
"911015                                                                                                                                                                                                                                                          ","Facilidades de spa y ejercicios y rejuvenecimiento                                                                                                                                                                                                              "
"911016                                                                                                                                                                                                                                                          ","Cuidado facial y corporal                                                                                                                                                                                                                                       "
"911017                                                                                                                                                                                                                                                          ","Cuidado del pelo                                                                                                                                                                                                                                                "
"911018                                                                                                                                                                                                                                                          ","Alquiler de ropa                                                                                                                                                                                                                                                "
"911019                                                                                                                                                                                                                                                          ","Consultores de modas                                                                                                                                                                                                                                            "
"911115                                                                                                                                                                                                                                                          ","Servicios de lavandería                                                                                                                                                                                                                                         "
"911116                                                                                                                                                                                                                                                          ","Asistencia y cuidado del hogar                                                                                                                                                                                                                                  "
"911117                                                                                                                                                                                                                                                          ","Servicios de compra y trueque de consumo                                                                                                                                                                                                                        "
"911118                                                                                                                                                                                                                                                          ","Cuidado y almacenamiento de ítems personales                                                                                                                                                                                                                    "
"911119                                                                                                                                                                                                                                                          ","Servicios de cuidado temporal                                                                                                                                                                                                                                   "
"921015                                                                                                                                                                                                                                                          ","Servicios de policía                                                                                                                                                                                                                                            "
"921016                                                                                                                                                                                                                                                          ","Servicios de bomberos                                                                                                                                                                                                                                           "
"921017                                                                                                                                                                                                                                                          ","Sistemas de cárceles y prisiones                                                                                                                                                                                                                                "
"921018                                                                                                                                                                                                                                                          ","Sistemas judiciales                                                                                                                                                                                                                                             "
"921019                                                                                                                                                                                                                                                          ","Servicios de rescate                                                                                                                                                                                                                                            "
"921115                                                                                                                                                                                                                                                          ","Mantenimiento de la paz y seguridad internacionales                                                                                                                                                                                                             "
"921116                                                                                                                                                                                                                                                          ","Desarmamiento                                                                                                                                                                                                                                                   "
"921117                                                                                                                                                                                                                                                          ","Ciencia e investigación militar                                                                                                                                                                                                                                 "
"921118                                                                                                                                                                                                                                                          ","Personal y disciplina militar                                                                                                                                                                                                                                   "
"921119                                                                                                                                                                                                                                                          ","Policía militar                                                                                                                                                                                                                                                 "
"921120                                                                                                                                                                                                                                                          ","Zonas militares                                                                                                                                                                                                                                                 "
"921121                                                                                                                                                                                                                                                          ","Guerra nuclear                                                                                                                                                                                                                                                  "
"921122                                                                                                                                                                                                                                                          ","Tácticas militares                                                                                                                                                                                                                                              "
"921123                                                                                                                                                                                                                                                          ","Bases militares                                                                                                                                                                                                                                                 "
"921124                                                                                                                                                                                                                                                          ","Conflictos e incidentes armados                                                                                                                                                                                                                                 "
"921215                                                                                                                                                                                                                                                          ","Servicios de guardias                                                                                                                                                                                                                                           "
"921216                                                                                                                                                                                                                                                          ","Servicios de detectives                                                                                                                                                                                                                                         "
"921217                                                                                                                                                                                                                                                          ","Servicios de sistemas de seguridad                                                                                                                                                                                                                              "
"921218                                                                                                                                                                                                                                                          ","Servicios de Carros blindados y transporte de valores                                                                                                                                                                                                           "
"921219                                                                                                                                                                                                                                                          ","Servicios de seguridad marina                                                                                                                                                                                                                                   "
"931015                                                                                                                                                                                                                                                          ","Cuerpos políticos                                                                                                                                                                                                                                               "
"931016                                                                                                                                                                                                                                                          ","Funcionarios políticos                                                                                                                                                                                                                                          "
"931017                                                                                                                                                                                                                                                          ","Cuerpos y práctica legislativa                                                                                                                                                                                                                                  "
"931115                                                                                                                                                                                                                                                          ","Movimientos políticos                                                                                                                                                                                                                                           "
"931116                                                                                                                                                                                                                                                          ","Representación y participación política                                                                                                                                                                                                                         "
"931215                                                                                                                                                                                                                                                          ","Diplomacia                                                                                                                                                                                                                                                      "
"931216                                                                                                                                                                                                                                                          ","Relaciones internacionales y cooperación                                                                                                                                                                                                                        "
"931217                                                                                                                                                                                                                                                          ","Organizaciones internacionales                                                                                                                                                                                                                                  "
"931315                                                                                                                                                                                                                                                          ","Programas de refugiados                                                                                                                                                                                                                                         "
"931316                                                                                                                                                                                                                                                          ","Planeación y programas de políticas de alimentación y nutrición                                                                                                                                                                                                 "
"931317                                                                                                                                                                                                                                                          ","Programas de salud                                                                                                                                                                                                                                              "
"931318                                                                                                                                                                                                                                                          ","Preparación y alivio de desastres                                                                                                                                                                                                                               "
"931415                                                                                                                                                                                                                                                          ","Desarrollo y servicios sociales                                                                                                                                                                                                                                 "
"931416                                                                                                                                                                                                                                                          ","Población                                                                                                                                                                                                                                                       "
"931417                                                                                                                                                                                                                                                          ","Cultura                                                                                                                                                                                                                                                         "
"931418                                                                                                                                                                                                                                                          ","Empleo                                                                                                                                                                                                                                                          "
"931419                                                                                                                                                                                                                                                          ","Desarrollo rural                                                                                                                                                                                                                                                "
"931420                                                                                                                                                                                                                                                          ","Desarrollo urbano                                                                                                                                                                                                                                               "
"931421                                                                                                                                                                                                                                                          ","Desarrollo regional                                                                                                                                                                                                                                             "
"931515                                                                                                                                                                                                                                                          ","Administración pública                                                                                                                                                                                                                                          "
"931516                                                                                                                                                                                                                                                          ","Finanzas públicas                                                                                                                                                                                                                                               "
"931517                                                                                                                                                                                                                                                          ","Monedas                                                                                                                                                                                                                                                         "
"931615                                                                                                                                                                                                                                                          ","Impuesto de renta                                                                                                                                                                                                                                               "
"931616                                                                                                                                                                                                                                                          ","Impuestos distintos del impuesto de renta                                                                                                                                                                                                                       "
"931617                                                                                                                                                                                                                                                          ","Administración tributaria                                                                                                                                                                                                                                       "
"931618                                                                                                                                                                                                                                                          ","Temas tributarios                                                                                                                                                                                                                                               "
"931715                                                                                                                                                                                                                                                          ","Política comercial                                                                                                                                                                                                                                              "
"931716                                                                                                                                                                                                                                                          ","Comercio internacional                                                                                                                                                                                                                                          "
"931717                                                                                                                                                                                                                                                          ","Administración y cumplimiento aduanero                                                                                                                                                                                                                          "
"931718                                                                                                                                                                                                                                                          ","Análisis de comercio                                                                                                                                                                                                                                            "
"941015                                                                                                                                                                                                                                                          ","Asociaciones de negocios                                                                                                                                                                                                                                        "
"941016                                                                                                                                                                                                                                                          ","Asociaciones profesionales                                                                                                                                                                                                                                      "
"941017                                                                                                                                                                                                                                                          ","Asociaciones de personal                                                                                                                                                                                                                                        "
"941018                                                                                                                                                                                                                                                          ","Sindicatos                                                                                                                                                                                                                                                      "
"941117                                                                                                                                                                                                                                                          ","Residencias religiosas                                                                                                                                                                                                                                          "
"941118                                                                                                                                                                                                                                                          ","Organizaciones y servicios de peregrinaje                                                                                                                                                                                                                       "
"941119                                                                                                                                                                                                                                                          ","Servicios misioneros                                                                                                                                                                                                                                            "
"941120                                                                                                                                                                                                                                                          ","Servicios confesionarios                                                                                                                                                                                                                                        "
"941215                                                                                                                                                                                                                                                          ","Clubes deportivos                                                                                                                                                                                                                                               "
"941216                                                                                                                                                                                                                                                          ","Clubes de hobbies                                                                                                                                                                                                                                               "
"941217                                                                                                                                                                                                                                                          ","Clubes de aficionados                                                                                                                                                                                                                                           "
