"familia","nombre_familia"
"7215                                                                                                                                                                                                                                                            ","Servicios de mantenimiento y construcción de comercio especializado                                                                                                                                                                                             "
"7310                                                                                                                                                                                                                                                            ","Industrias de plásticos y productos químicos                                                                                                                                                                                                                    "
"7311                                                                                                                                                                                                                                                            ","Industrias de la madera y el papel                                                                                                                                                                                                                              "
"7312                                                                                                                                                                                                                                                            ","Industrias del metal y de minerales                                                                                                                                                                                                                             "
"7313                                                                                                                                                                                                                                                            ","Industrias de alimentos y bebidas                                                                                                                                                                                                                               "
"7314                                                                                                                                                                                                                                                            ","Industrias de fibras, textiles y de tejidos                                                                                                                                                                                                                     "
"7315                                                                                                                                                                                                                                                            ","Servicios de apoyo a la fabricación                                                                                                                                                                                                                             "
"7316                                                                                                                                                                                                                                                            ","Fabricación de maquinaria y equipo de transporte                                                                                                                                                                                                                "
"7317                                                                                                                                                                                                                                                            ","Fabricación de productos eléctricos e instrumentos de precisión                                                                                                                                                                                                 "
"7318                                                                                                                                                                                                                                                            ","Servicios de maquinado y procesado                                                                                                                                                                                                                              "
"7610                                                                                                                                                                                                                                                            ","Servicios de descontaminación                                                                                                                                                                                                                                   "
"7611                                                                                                                                                                                                                                                            ","Servicios de aseo y limpieza                                                                                                                                                                                                                                    "
"7612                                                                                                                                                                                                                                                            ","Eliminación y tratamiento de desechos                                                                                                                                                                                                                           "
"7613                                                                                                                                                                                                                                                            ","Limpieza de residuos tóxicos y peligrosos                                                                                                                                                                                                                       "
"7710                                                                                                                                                                                                                                                            ","Gestión medioambiental                                                                                                                                                                                                                                          "
"7711                                                                                                                                                                                                                                                            ","Protección medioambiental                                                                                                                                                                                                                                       "
"7712                                                                                                                                                                                                                                                            ","Seguimiento, control y rehabilitación de la contaminación                                                                                                                                                                                                       "
"7713                                                                                                                                                                                                                                                            ","Servicios de seguimiento, control o rehabilitación de contaminantes                                                                                                                                                                                             "
"7810                                                                                                                                                                                                                                                            ","Transporte de correo y carga                                                                                                                                                                                                                                    "
"7811                                                                                                                                                                                                                                                            ","Transporte de pasajeros                                                                                                                                                                                                                                         "
"7812                                                                                                                                                                                                                                                            ","Manejo y embalaje de material                                                                                                                                                                                                                                   "
"7813                                                                                                                                                                                                                                                            ","Almacenaje                                                                                                                                                                                                                                                      "
"7814                                                                                                                                                                                                                                                            ","Servicios de transporte                                                                                                                                                                                                                                         "
"7818                                                                                                                                                                                                                                                            ","Servicios de mantenimiento o reparaciones de transportes                                                                                                                                                                                                        "
"8010                                                                                                                                                                                                                                                            ","Servicios de asesoría de gestión                                                                                                                                                                                                                                "
"8011                                                                                                                                                                                                                                                            ","Servicios de recursos humanos                                                                                                                                                                                                                                   "
"8012                                                                                                                                                                                                                                                            ","Servicios legales                                                                                                                                                                                                                                               "
"8013                                                                                                                                                                                                                                                            ","Servicios inmobiliarios                                                                                                                                                                                                                                         "
"8014                                                                                                                                                                                                                                                            ","Comercialización y distribución                                                                                                                                                                                                                                 "
"8015                                                                                                                                                                                                                                                            ","Política comercial y servicios                                                                                                                                                                                                                                  "
"8016                                                                                                                                                                                                                                                            ","Servicios de administración de empresas                                                                                                                                                                                                                         "
"8110                                                                                                                                                                                                                                                            ","Servicios profesionales de ingeniería                                                                                                                                                                                                                           "
"8111                                                                                                                                                                                                                                                            ","Servicios informáticos                                                                                                                                                                                                                                          "
"8112                                                                                                                                                                                                                                                            ","Economía                                                                                                                                                                                                                                                        "
"8113                                                                                                                                                                                                                                                            ","Estadística                                                                                                                                                                                                                                                     "
"8114                                                                                                                                                                                                                                                            ","Tecnologías de fabricación                                                                                                                                                                                                                                      "
"8115                                                                                                                                                                                                                                                            ","Servicios de pedología                                                                                                                                                                                                                                          "
"8116                                                                                                                                                                                                                                                            ","Entrega de servicios de tecnología de información                                                                                                                                                                                                               "
"8210                                                                                                                                                                                                                                                            ","Publicidad                                                                                                                                                                                                                                                      "
"8211                                                                                                                                                                                                                                                            ","Escritura y traducciones                                                                                                                                                                                                                                        "
"8212                                                                                                                                                                                                                                                            ","Servicios de reproducción                                                                                                                                                                                                                                       "
"8213                                                                                                                                                                                                                                                            ","Servicios fotográficos                                                                                                                                                                                                                                          "
"8214                                                                                                                                                                                                                                                            ","Diseño gráfico                                                                                                                                                                                                                                                  "
"8215                                                                                                                                                                                                                                                            ","Artistas e intérpretes profesionales                                                                                                                                                                                                                            "
"8310                                                                                                                                                                                                                                                            ","Servicios públicos                                                                                                                                                                                                                                              "
"8311                                                                                                                                                                                                                                                            ","Servicios de medios de telecomunicaciones                                                                                                                                                                                                                       "
"8312                                                                                                                                                                                                                                                            ","Servicios de información                                                                                                                                                                                                                                        "
"8410                                                                                                                                                                                                                                                            ","Finanzas de desarrollo                                                                                                                                                                                                                                          "
"8411                                                                                                                                                                                                                                                            ","Servicios de contabilidad y auditorias                                                                                                                                                                                                                          "
"8412                                                                                                                                                                                                                                                            ","Banca e inversiones                                                                                                                                                                                                                                             "
"8413                                                                                                                                                                                                                                                            ","Servicios de seguros y pensiones                                                                                                                                                                                                                                "
"8414                                                                                                                                                                                                                                                            ","Agencias de crédito                                                                                                                                                                                                                                             "
"8510                                                                                                                                                                                                                                                            ","Servicios integrales de salud                                                                                                                                                                                                                                   "
"8511                                                                                                                                                                                                                                                            ","Prevención y control de enfermedades                                                                                                                                                                                                                            "
"8512                                                                                                                                                                                                                                                            ","Práctica médica                                                                                                                                                                                                                                                 "
"8513                                                                                                                                                                                                                                                            ","Ciencia médica, investigación y experimentación                                                                                                                                                                                                                 "
"8514                                                                                                                                                                                                                                                            ","Medicina alternativa y holística                                                                                                                                                                                                                                "
"8515                                                                                                                                                                                                                                                            ","Servicios alimenticios y de nutrición                                                                                                                                                                                                                           "
"8516                                                                                                                                                                                                                                                            ","Servicios de mantenimiento, renovación y reparación de equipo médico quirúrgico                                                                                                                                                                                 "
"8517                                                                                                                                                                                                                                                            ","Servicios de muerte y soporte al fallecimiento                                                                                                                                                                                                                  "
"8610                                                                                                                                                                                                                                                            ","Formación profesional                                                                                                                                                                                                                                           "
"8611                                                                                                                                                                                                                                                            ","Sistemas educativos alternativos                                                                                                                                                                                                                                "
"8612                                                                                                                                                                                                                                                            ","Instituciones educativas                                                                                                                                                                                                                                        "
"8613                                                                                                                                                                                                                                                            ","Servicios educativos especializados                                                                                                                                                                                                                             "
"8614                                                                                                                                                                                                                                                            ","Instalaciones educativas                                                                                                                                                                                                                                        "
"9010                                                                                                                                                                                                                                                            ","Restaurantes y catering (servicios de comidas y bebidas)                                                                                                                                                                                                        "
"9011                                                                                                                                                                                                                                                            ","Instalaciones hoteleras, alojamientos y centros de encuentros                                                                                                                                                                                                   "
"9012                                                                                                                                                                                                                                                            ","Facilitación de viajes                                                                                                                                                                                                                                          "
"9013                                                                                                                                                                                                                                                            ","Artes interpretativas                                                                                                                                                                                                                                           "
"9014                                                                                                                                                                                                                                                            ","Deportes comerciales                                                                                                                                                                                                                                            "
"9015                                                                                                                                                                                                                                                            ","Servicios de entretenimiento                                                                                                                                                                                                                                    "
"9110                                                                                                                                                                                                                                                            ","Aspecto personal                                                                                                                                                                                                                                                "
"9111                                                                                                                                                                                                                                                            ","Asistencia doméstica y personal                                                                                                                                                                                                                                 "
"9210                                                                                                                                                                                                                                                            ","Orden público y seguridad                                                                                                                                                                                                                                       "
"9211                                                                                                                                                                                                                                                            ","Servicios militares o defensa nacional                                                                                                                                                                                                                          "
"9212                                                                                                                                                                                                                                                            ","Seguridad y protección personal                                                                                                                                                                                                                                 "
"9310                                                                                                                                                                                                                                                            ","Sistemas e instituciones políticas                                                                                                                                                                                                                              "
"9311                                                                                                                                                                                                                                                            ","Condiciones sociopolíticas                                                                                                                                                                                                                                      "
"9312                                                                                                                                                                                                                                                            ","Relaciones internacionales                                                                                                                                                                                                                                      "
"9313                                                                                                                                                                                                                                                            ","Ayuda y asistencia humanitaria                                                                                                                                                                                                                                  "
"9314                                                                                                                                                                                                                                                            ","Servicios comunitarios y sociales                                                                                                                                                                                                                               "
"9315                                                                                                                                                                                                                                                            ","Servicios de administración y financiación pública                                                                                                                                                                                                              "
"9316                                                                                                                                                                                                                                                            ","Tributación                                                                                                                                                                                                                                                     "
"9317                                                                                                                                                                                                                                                            ","Política y regulación comercial                                                                                                                                                                                                                                 "
"9410                                                                                                                                                                                                                                                            ","Organizaciones laborales                                                                                                                                                                                                                                        "
"9411                                                                                                                                                                                                                                                            ","Organizaciones religiosas                                                                                                                                                                                                                                       "
"9412                                                                                                                                                                                                                                                            ","Clubes                                                                                                                                                                                                                                                          "
